date,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
2024-01-09,298.83049804999996,0.005099162533098524,0.0005766469181542868,0.0004806000000000001,55685469
2024-01-10,629.9703459,0.004824286946396559,0.0005610941879480347,0.00046300000000000003,52236430
2024-01-11,403.48050435,0.005043392129635241,0.0006048639114149898,0.00049245,52404790
2024-01-12,197.56049389999998,0.00513405100312644,0.0005881329729641214,0.0004412,49424822
2024-01-13,378.36421425,0.0044948060112115894,0.0005591090576354139,0.00044970000000000003,51967446
2024-01-14,1230.46632099534,0.006072006690234879,0.0005987069920089595,0.00047165000000000005,49191864
2024-01-15,477.1004771,0.006620454774644889,0.0006047040776103609,0.0004671,54591231
2024-01-16,1166.1604859000001,0.007671462198536354,0.0006337324997137529,0.00047245,58893112
2024-01-17,505.55050554999997,0.00708776946332334,0.0006300738778007552,0.00048625000000000003,56361931
2024-01-18,1997.8004994500002,0.007791114502852315,0.0006334236919910471,0.0004606000000000001,56966480
2024-01-19,463.05046304999996,0.007166180711706841,0.0005938460573878978,0.00043860000000000004,59566575
2024-01-20,913.2004565999999,0.007047121013877662,0.0006064215142830836,0.000453,62772408
2024-01-21,904.91346075,0.007183128954636549,0.0005854466678448525,0.0004559000000000001,62192433
2024-01-22,425.5444172,0.006269754347633725,0.0005849193643889624,0.0004146500000000001,59534909
2024-01-23,404.10040409999993,0.005815944984388815,0.0005353414343870032,0.00039575000000000005,63041197
2024-01-24,439.2004392,0.005952406156934489,0.0005830324430031524,0.0004175,77512673
2024-01-25,438.05043804999997,0.00574388775909517,0.0005834139108384841,0.0004264500000000001,74655559
2024-01-26,906.5004532500001,0.00824859042332497,0.0006190056622979206,0.0004312,72909602
2024-01-27,1965.3904679500001,0.006261536279731578,0.0005974637008119562,0.0004546500000000001,69278013
2024-01-28,487.65048765,0.008126131786536771,0.0006365143149886954,0.00046815,68679639
2024-01-29,581.58048465,0.007823451811156396,0.0006591316308629523,0.00047640000000000003,68328899
2024-01-30,1548.3005160999999,0.008564724828909872,0.0007521032132910243,0.0005057500000000001,70607158
2024-01-31,5229.47780585,0.017622822819684646,0.000837937996829705,0.00048175000000000003,64282073
2024-02-01,1881.602352,0.011647099413030843,0.000928825054003244,0.00046670000000000007,67850533
2024-02-02,1156.00041147639,0.009267212693688652,0.0007520868508791763,0.00048785,72816879
2024-02-03,417.6904914,0.005808342126845322,0.0006671377556847105,0.0004849000000000001,82863743
2024-02-04,1105.9217885380501,0.006156450568531315,0.0007401742749163116,0.00047750000000000006,79332872
2024-02-05,1439.40048152728,0.0063344154115987815,0.0006766432107681063,0.00047250000000000005,79706595
2024-02-06,10081.05048062606,0.0065812767384354365,0.00069209083082356,0.0004714,64417557
2024-02-07,955.4004777,0.005835649347021578,0.0006631462125199245,0.00047450000000000004,83536800
2024-02-08,2068.6925146,0.005431968930179388,0.0006687621565487791,0.0005031500000000001,80739298
2024-02-09,2367.67552615,0.004693296543875091,0.0006887232285655312,0.0005141,77721940
2024-02-10,1680.0078580499999,0.004349918869561262,0.000696816741379833,0.00053495,75195418
2024-02-11,759.3605424,0.00432202007407044,0.0007171701262612836,0.000537,80765448
2024-02-12,888.6755227499999,0.00550825149749582,0.0007062765966756997,0.0005192,77782651
2024-02-13,1183.03556335,0.005060073334264899,0.0007229852076260004,0.00054345,80844727
2024-02-14,2011.42048275,0.004342272972334372,0.0007350767789527082,0.0005548500000000001,86141249
2024-02-15,560.4191592999999,0.005003452311078494,0.0007379428323966837,0.00055915,83454344
2024-02-16,252.05107025,0.004391083637919213,0.0006963861044572788,0.00054195,79912439
2024-02-17,262.9345366,0.0037490046539545747,0.0006760677994698777,0.00053145,75733239
2024-02-18,411.31907595859,0.0038971465769680053,0.0006768957937296908,0.0005387500000000001,73897715
2024-02-19,470.15762466232,0.004004425577075694,0.0007000504023561863,0.0005563,78854130
2024-02-20,327.32952795,0.003966981890484549,0.0006621361293193174,0.0005259500000000001,76622872
2024-02-21,670.560508,0.003480692813935074,0.0006245095424497391,0.00050255,76944975
2024-02-22,1055.34952245,0.0029449659052422964,0.0006403948668575842,0.00050915,82806846
2024-02-23,348.94251315,0.0030807827828701084,0.0006106054757886247,0.0004961500000000001,75180690
2024-02-24,235.805121,0.0028117010932196423,0.0006056517419702706,0.0004939,69284383
2024-02-25,285.108510302,0.003058267965530915,0.0006031936480841966,0.0005114500000000001,62687861
2024-02-26,437.3605467,0.0030736565673129814,0.0005985352157576625,0.0005031,64842501
2024-02-27,354.0485532,0.0036212496737937213,0.00065614776841393,0.00053135,65234099
2024-02-28,245.88958545,0.004276789826979185,0.0006741375099328648,0.00053795,61173681
2024-02-29,249.86062464999998,0.004522650196608777,0.0007854185237088856,0.0005881500000000001,59450753
2024-03-01,281.23266959999995,0.004706385929320708,0.0008175174721901455,0.0006287,57836152
2024-03-02,320.40064079999996,0.004721907895491207,0.0007844218598940349,0.000639,62635867
2024-03-03,214.20065624999998,0.005622540223783055,0.0007922730734038529,0.0006292000000000001,59349238
2024-03-04,488.06765955,0.008261891518356818,0.0008765822870388002,0.00064035,52076517
