network,date,fee_token,gwei_high,gwei_avg,gwei_median,gwei_low,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
Arbitrum One,2025-03-13,ETH,0.176527,0.016316636348168666,0.010000306025065396,0.01,0.02154808753595243,0.0019917197274226723,0.001220668159086536,0.0012206680868055552,2010555
Base,2025-03-13,ETH,4298.209769564,0.07072499275717566,0.005164025853462109,0.002048421,524.6694428130737,0.009467896127910777,0.0011317518415389677,0.00025093378897517307,7657380
Optimism,2025-03-13,ETH,86.627053753,0.03188811183506912,0.001252877172593678,3.9397e-05,10.574619325010552,0.004694334427563467,0.0003987087270834912,1.0574599658483951e-05,758391
Polygon PoS,2025-03-13,POL,33098670.149484653,85.3035749961932,36.596708447064046,25.000000023,459.3666110906998,0.0011839029780636653,0.0005082837771114012,0.0003469675741039323,3251621
zkSync Era,2025-03-13,ETH,6.5,0.05393324431743055,0.04525,0.04525,0.7934342564236112,0.006583459015620561,0.00552352309279514,0.0055235230927951386,105280
Arbitrum One,2025-03-14,ETH,0.129816,0.016454971227392135,0.01,0.01,0.016100237673487505,0.0020408035039711915,0.001240235230902778,0.0012402352309027777,1651293
Base,2025-03-14,ETH,5100.323360501,0.07139411786249043,0.00491880836701878,0.002175562,632.5600743650355,0.009136448885467557,0.0006738345872309296,0.0002700680475065126,7535562
Optimism,2025-03-14,ETH,71.973999567,0.022293857654697997,0.001231734646299542,0.000177236,8.926521533347254,0.0030768263436835265,0.00022675971157682658,2.2813279470154667e-05,732217
Polygon PoS,2025-03-14,POL,5280835.368423713,82.97785632997451,38.9530953051851,25.000000023,73.75513702843294,0.0011589157277155384,0.0005436561095151836,0.0003491641565712311,3129528
zkSync Era,2025-03-14,ETH,6.5,0.054327689156202216,0.04525,0.04525,0.8061529000868056,0.006737911410503075,0.0056120644198350686,0.005612064419835068,89506
Arbitrum One,2025-03-15,ETH,0.019827,0.010054875376455316,0.01,0.01,0.0024894695971437496,0.001262485830067564,0.0012555957013888886,0.0012555957013888884,1328168
Base,2025-03-15,ETH,1706.004617538,0.0514443197949436,0.003855919295081608,0.001960164,214.20544082326418,0.006536664899138384,0.0005096285775511075,0.00024629813734118833,7018793
Optimism,2025-03-15,ETH,64.999912958,0.02013056208131242,0.0012381704214216678,0.000299523,8.161363839084219,0.002593584456982399,0.00018337811272957182,3.798218533497651e-05,708649
Polygon PoS,2025-03-15,POL,10205493.880895564,58.134332007536095,35.80077979044417,25.000000022,144.263021499403,0.0008217764359210785,0.0005054777848068248,0.0003533954929325158,3111207
zkSync Era,2025-03-15,ETH,6.5,0.05390830274089048,0.04525,0.04525,0.816137205902778,0.006768703319061552,0.005681570548784723,0.005681570548784721,80207
Arbitrum One,2025-03-16,ETH,0.27817,0.014780234316451406,0.01,0.01,0.034536715938720486,0.001835067599292746,0.0012415686788194442,0.001241568678819444,1641912
Base,2025-03-16,ETH,3480.767008232,0.049325658734343886,0.0034002183226327603,0.001790516,432.1611351994905,0.006153582859101161,0.0004475225931254416,0.00022274669680675117,7546582
Optimism,2025-03-16,ETH,44.554715391,0.022012454227572337,0.0010736837618780923,0.00017212,5.531776709159837,0.002763998305238723,0.0001596267279026525,2.1635560395426737e-05,687557
Polygon PoS,2025-03-16,POL,2507229.741011724,64.83470264286058,35.91901456867261,25.000000021,34.944556302513256,0.0009036347486632397,0.0005002799470772502,0.00034843791695935453,2989057
zkSync Era,2025-03-16,ETH,6.5,0.0560169401379689,0.04525,0.04525,0.8070196412326388,0.006954887835859387,0.005618098271657985,0.005618098271657984,78356
