network,date,fee_token,gwei_high,gwei_avg,gwei_median,gwei_low,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
Arbitrum One,2025-07-30,ETH,0.812203,0.01986374863850776,0.010000149076933446,0.01,0.2000331683868984,0.004892137281200707,0.0024628542740200475,0.002462846953124999,2675382
Base,2025-07-30,ETH,700.886100435,0.030791585310666753,0.007868372147707607,0.001118879,172.61752732890588,0.007634225928608819,0.001986300414755012,0.00027752998091928676,8594860
Optimism,2025-07-30,ETH,110.648347766,0.015457435253442856,0.0006976276295619876,3.72e-07,27.251052368894428,0.003895887587668001,0.0002486579318518538,1.6175248157895507e-07,1250657
Polygon PoS,2025-07-30,POL,4141172.003689631,65.33302271000632,33.96766243337227,25.000000069,58.69260433794919,0.0009259613579692532,0.0004811552914426213,0.00035432363379043314,2623959
zkSync Era,2025-07-30,ETH,6.5,0.05659500628689054,0.04525,0.04525,1.6008505195312503,0.013938483879574444,0.011144382462890628,0.011144382462890625,80644
Arbitrum One,2025-07-31,ETH,0.065034,0.012643397005135388,0.010000004024382917,0.01,0.016108578214990624,0.0031317026410868283,0.0024769550344714074,0.002476947168402777,2557448
Base,2025-07-31,ETH,1826.900617638,0.03772948021298832,0.011877017728647804,0.001424424,452.5139074341294,0.009403393535328118,0.002993845905122596,0.0003566052863722728,9404319
Optimism,2025-07-31,ETH,92.483042477,0.013175075266153014,0.0009236857226400085,3.04e-07,22.907588195257674,0.003355703184742842,0.00028169809168009774,1.0229455175998553e-07,1087990
Polygon PoS,2025-07-31,POL,306502.885258445,63.43312448345611,34.960589244832406,25.000000083,4.298303442431496,0.0008895668864634672,0.000491823435836312,0.0003505924139243836,2942750
zkSync Era,2025-07-31,ETH,6.5,0.056279008322402874,0.04525,0.04525,1.6100156594618056,0.013940013030464488,0.01120818593702257,0.011208185937022566,59841
Arbitrum One,2025-08-01,ETH,0.679786,0.04037187184378839,0.011933984597533535,0.01,0.1598415757607591,0.009492845707209202,0.0028117007307646197,0.0023513513923611117,3278202
Base,2025-08-01,ETH,958.829331254,0.038639380628574964,0.01108345351753201,0.001817527,225.45450582510247,0.009099984267972613,0.0026438861625147857,0.0004284163642651997,9898643
Optimism,2025-08-01,ETH,603.64066485,0.02100751016665129,0.0010002980596177397,3.32e-07,141.93713369649416,0.0049636234327956495,0.00025243374341794286,9.416068541747533e-08,1365403
Polygon PoS,2025-08-01,POL,529624.309412673,75.40864554959651,34.702178559229544,25.000000081,6.920910377885811,0.000985408842251367,0.00045376543564979723,0.0003266896117355576,3740910
zkSync Era,2025-08-01,ETH,6.5,0.0616149801962385,0.04525,0.04525,1.5283784050347222,0.014487846947456322,0.010639865050434027,0.010639865050434023,63084
Arbitrum One,2025-08-02,ETH,0.394064,0.017602887022545276,0.01,0.01,0.08906460106790277,0.003978526610668799,0.0022601557378472224,0.0022601557378472215,2495259
Base,2025-08-02,ETH,1353.074170218,0.02472987117294543,0.006007210783038018,0.001111208,305.81583697002213,0.005596514865959689,0.0013670533494823868,0.0002515334734321212,10368924
Optimism,2025-08-02,ETH,234.921302422,0.01635312929843529,0.0008456050963020678,3.32e-07,53.0958754360677,0.003707977090243805,0.00020113388795822012,9.099501844736347e-08,1013154
Polygon PoS,2025-08-02,POL,397025.000000138,59.43836382906238,32.36392688492543,25.000000077,5.060917694570336,0.0007576668150335772,0.00041133979330520667,0.0003186775209468046,3250795
zkSync Era,2025-08-02,ETH,6.5,0.057067549522459585,0.04525,0.04525,1.4691012296006947,0.012898154949806083,0.01022720471375868,0.010227204713758679,49173
Arbitrum One,2025-08-03,ETH,0.056694,0.010548724610285982,0.01,0.01,0.012791434583755208,0.0023800282356966716,0.0022562236892361112,0.002256223689236111,2036002
Base,2025-08-03,ETH,4337.288864915,0.0180283242920732,0.002853301745019524,0.000404929,978.5893986675566,0.004073042817246597,0.0006465289417695736,9.172462846713968e-05,8799647
Optimism,2025-08-03,ETH,48.886335211,0.010373467657609794,0.0003051042225643133,3.18e-07,11.029854709487125,0.0023498231706429356,7.81277051269228e-05,8.573677817580477e-08,916063
Polygon PoS,2025-08-03,POL,3641301.085714282,58.851591901714635,31.235666034629492,25.000000075,47.22621559007941,0.000763281558307209,0.00040550983713114833,0.0003242399805734144,3297943
zkSync Era,2025-08-03,ETH,6.5,0.05800880097718841,0.04525,0.04525,1.4665453980034728,0.013088083094892036,0.010209412193793406,0.010209412193793404,40411
Arbitrum One,2025-08-04,ETH,0.148157,0.014716018223776103,0.01,0.01,0.03475470663940574,0.003452087287590869,0.002345802536458334,0.002345802536458333,2473197
Base,2025-08-04,ETH,4618.958967356,0.02478033474611265,0.005165267091859095,0.000193965,1083.516570551898,0.005822088770342106,0.0012288801916261625,4.581048500819e-05,8837424
Optimism,2025-08-04,ETH,246.56023782,0.01557963993151546,0.0005825617937774833,3.22e-07,57.83820089315277,0.003671469364425726,0.00015053950751761744,8.996704579642874e-08,949434
