Date,Price,Open,High,Low,Vol.,Change %
7/26/2023,2.8402,2.7974,2.8556,2.7722,15.96K,1.57%
7/27/2023,2.8815,2.8498,2.894,2.8276,16.25K,1.45%
7/28/2023,2.8876,2.8645,2.9223,2.8605,10.02K,0.21%
7/31/2023,2.625,2.5876,2.6332,2.5825,20.55K,-9.09%
8/1/2023,2.6136,2.6297,2.6457,2.6011,16.35K,-0.43%
8/2/2023,2.5359,2.6334,2.6456,2.5241,26.24K,-2.97%
8/3/2023,2.5333,2.5366,2.5542,2.4847,18.86K,-0.10%
8/4/2023,2.546,2.5451,2.571,2.53,11.77K,0.50%
8/7/2023,2.5654,2.5504,2.5879,2.5367,10.88K,0.76%
8/8/2023,2.6085,2.585,2.6137,2.5079,10.16K,1.68%
8/9/2023,2.6867,2.6005,2.695,2.5975,18.03K,3.00%
8/10/2023,2.6617,2.6878,2.6986,2.6359,11.42K,-0.93%
8/11/2023,2.7025,2.6562,2.7196,2.654,14.67K,1.53%
8/14/2023,2.6596,2.6691,2.6836,2.6411,11.26K,-1.59%
8/15/2023,2.6116,2.6652,2.6768,2.6042,15.33K,-1.80%
8/16/2023,2.6214,2.588,2.645,2.588,18.16K,0.38%
8/17/2023,2.6035,2.6152,2.6552,2.5867,11.73K,-0.68%
8/18/2023,2.6001,2.582,2.631,2.5685,12.86K,-0.13%
8/21/2023,2.5539,2.591,2.6327,2.5367,12.67K,-1.78%
8/22/2023,2.5725,2.5617,2.5755,2.5441,10.83K,0.73%
8/23/2023,2.5595,2.5544,2.5667,2.5059,12.10K,-0.51%
8/24/2023,2.581,2.5664,2.5893,2.528,10.21K,0.84%
8/25/2023,2.645,2.5705,2.6555,2.563,13.82K,2.48%
8/28/2023,2.5669,2.6299,2.6299,2.5504,8.37K,-2.95%
8/29/2023,2.5565,2.5751,2.5855,2.5197,11.47K,-0.41%
8/30/2023,2.5671,2.5482,2.5853,2.5392,15.71K,0.41%
8/31/2023,2.4803,2.4863,2.5048,2.4539,22.03K,-3.38%
9/1/2023,2.5124,2.4826,2.523,2.4822,12.79K,1.29%
9/4/2023,2.5232,2.5105,2.5354,2.508,2.98K,0.43%
9/5/2023,2.5147,2.5097,2.5725,2.5001,13.38K,-0.34%
9/6/2023,2.5349,2.5246,2.5615,2.4961,12.31K,0.80%
9/7/2023,2.5537,2.5541,2.578,2.5263,15.45K,0.74%
9/8/2023,2.5862,2.5517,2.6184,2.5451,23.20K,1.27%
9/11/2023,2.6365,2.5748,2.6435,2.5748,22.49K,1.94%
9/12/2023,2.6552,2.651,2.6665,2.6257,14.31K,0.71%
9/13/2023,2.663,2.6445,2.6681,2.6302,12.90K,0.29%
9/14/2023,2.6794,2.6688,2.6985,2.6645,12.64K,0.62%
9/15/2023,2.6489,2.6824,2.7002,2.6293,10.14K,-1.14%
9/18/2023,2.6415,2.6445,2.6728,2.6255,10.28K,-0.28%
9/19/2023,2.605,2.6503,2.6645,2.6012,10.47K,-1.38%
9/20/2023,2.5707,2.6068,2.6251,2.5623,8.94K,-1.32%
9/21/2023,2.5681,2.5532,2.5963,2.5356,9.61K,-0.10%
9/22/2023,2.5119,2.5761,2.594,2.5105,9.52K,-2.19%
9/25/2023,2.5034,2.5289,2.5338,2.482,6.51K,-0.34%
9/26/2023,2.5166,2.4903,2.5286,2.4624,11.67K,0.53%
9/27/2023,2.5501,2.5265,2.5789,2.5265,10.40K,1.33%
9/28/2023,2.4662,2.5633,2.5688,2.4649,9.57K,-3.29%
9/29/2023,2.3496,2.4126,2.429,2.3449,16.96K,-4.73%
10/2/2023,2.3522,2.3492,2.3837,2.338,11.78K,0.11%
10/3/2023,2.3119,2.3474,2.3538,2.2988,15.01K,-1.71%
10/4/2023,2.1637,2.2825,2.2845,2.1612,13.78K,-6.41%
10/5/2023,2.15,2.1761,2.1841,2.1377,11.66K,-0.63%
10/6/2023,2.1616,2.1635,2.1836,2.1466,11.13K,0.54%
10/9/2023,2.2151,2.2066,2.2439,2.1945,10.30K,2.48%
10/10/2023,2.2312,2.2182,2.2359,2.2026,13.97K,0.73%
10/11/2023,2.1937,2.242,2.2497,2.1773,10.68K,-1.68%
10/12/2023,2.151,2.1731,2.2091,2.1424,14.93K,-1.95%
10/13/2023,2.253,2.1683,2.2565,2.1683,14.05K,4.74%
10/16/2023,2.2577,2.2477,2.276,2.2407,8.35K,0.21%
10/17/2023,2.2725,2.2674,2.2858,2.2479,13.91K,0.66%
10/18/2023,2.3348,2.3098,2.3395,2.2855,11.21K,2.74%
10/19/2023,2.343,2.3346,2.3598,2.299,9.81K,0.35%
10/20/2023,2.3538,2.3578,2.3792,2.3436,8.27K,0.46%
10/23/2023,2.3116,2.3447,2.3533,2.303,8.71K,-1.79%
10/24/2023,2.2527,2.3149,2.3203,2.2325,12.35K,-2.55%
10/25/2023,2.2688,2.2541,2.2794,2.2142,16.54K,0.71%
10/26/2023,2.2371,2.2627,2.2695,2.2248,11.54K,-1.40%
10/27/2023,2.2952,2.2517,2.2993,2.2398,10.47K,2.60%
10/30/2023,2.2168,2.275,2.2914,2.213,7.54K,-3.42%
10/31/2023,2.2117,2.2237,2.2479,2.2058,14.90K,-0.23%
11/1/2023,2.1838,2.2154,2.2731,2.181,11.78K,-1.26%
11/2/2023,2.2401,2.2,2.2448,2.1816,12.06K,2.58%
11/3/2023,2.1945,2.2452,2.2526,2.1813,15.74K,-2.04%
11/6/2023,2.2254,2.2,2.2495,2.1983,13.48K,1.41%
11/7/2023,2.1527,2.2058,2.2085,2.1449,16.88K,-3.27%
11/8/2023,2.1106,2.1526,2.1579,2.1064,14.74K,-1.96%
11/9/2023,2.1366,2.1173,2.1685,2.1156,13.12K,1.23%
11/10/2023,2.1663,2.1405,2.1805,2.1381,15.91K,1.39%
11/13/2023,2.2093,2.1406,2.216,2.1351,16.25K,1.98%
11/14/2023,2.2006,2.2128,2.245,2.1907,21.12K,-0.39%
11/15/2023,2.1803,2.2,2.2078,2.15,20.38K,-0.92%
11/16/2023,2.076,2.1648,2.1722,2.07,12.41K,-4.78%
11/17/2023,2.1544,2.0809,2.1605,2.0705,12.99K,3.78%
11/20/2023,2.1972,2.1635,2.226,2.1556,9.05K,1.99%
11/21/2023,2.208,2.192,2.2109,2.1695,9.26K,0.49%
11/22/2023,2.1958,2.207,2.2148,2.1076,10.76K,-0.55%
11/23/2023,2.188,2.17,2.1875,2.1634,3.27K,-0.36%
11/24/2023,2.1366,2.1835,2.2128,2.14,7.19K,-2.35%
11/27/2023,2.1454,2.1235,2.1769,2.116,11.49K,0.41%
11/28/2023,2.1926,2.164,2.2067,2.1476,8.77K,2.20%
11/29/2023,2.2473,2.2063,2.2503,2.1616,8.03K,2.49%
11/30/2023,2.1778,2.2501,2.2703,2.1568,20.66K,-3.09%
12/1/2023,2.1256,2.1637,2.1999,2.1216,18.48K,-2.40%
12/4/2023,2.1343,2.1266,2.1587,2.0985,19.21K,0.41%
12/5/2023,2.1128,2.1468,2.1646,2.1106,15.67K,-1.01%
12/6/2023,2.0342,2.1169,2.1169,2.0237,17.55K,-3.72%
12/7/2023,2.0085,2.0413,2.0552,2.0077,15.42K,-1.26%
