rank,name,slug,url,skynet_score,price_usd,market_cap,trading_volume,tvl_usd,governance_score,security_incident_count,is_exit_scam,has_3rd_party_audit,audit_count,platforms
587,Dfyn Network,dfyn-network,https://skynet.certik.com/projects/dfyn-network,"{'rank': 8879, 'percentile': 0.48154199642583606, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.69, 'scoreCodeSecurity': 58.06, 'scoreCommunity': 45.33, 'scoreFundamental': 44.6, 'scoreGovernance': 76.05, 'scoreMarket': 71.77, 'scoreOperation': 64.9}",0.00027338473592611746,46989,717.2623519897461,,,,,False,0,Ethereum|Polygon|Arbitrum
588,panKUKU,pankuku,https://skynet.certik.com/projects/pankuku,"{'rank': 8908, 'percentile': 0.4827163645647179, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.66, 'scoreCodeSecurity': 65.56, 'scoreCommunity': 57.69, 'scoreFundamental': 49.64, 'scoreGovernance': 66.24, 'scoreMarket': 61.85, 'scoreOperation': 66.7}",3.5506033655352467e-06,,0,,,,,True,1,BSC
589,SpaceFi,spacefi,https://skynet.certik.com/projects/spacefi,"{'rank': 8927, 'percentile': 0.4836864947664029, 'includedCategories': ['community', 'market', 'operation', 'fundamental'], 'score': 60.63, 'scoreCodeSecurity': None, 'scoreCommunity': 43.32, 'scoreFundamental': 49.33, 'scoreGovernance': None, 'scoreMarket': 74.05, 'scoreOperation': 60.3}",,,,,,,,False,0,Evmos|zkSync
590,Black Stallion,black-stallion,https://skynet.certik.com/projects/black-stallion,"{'rank': 8936, 'percentile': 0.484707684452387, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 60.61, 'scoreCodeSecurity': 67, 'scoreCommunity': 60.23, 'scoreFundamental': 49.31, 'scoreGovernance': 63.15, 'scoreMarket': None, 'scoreOperation': 68.3}",,,,,,,,True,1,
591,Pink Panda,pink-panda,https://skynet.certik.com/projects/pink-panda,"{'rank': 8950, 'percentile': 0.48511616032678073, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 60.6, 'scoreCodeSecurity': 67.44, 'scoreCommunity': 52.45, 'scoreFundamental': 49.59, 'scoreGovernance': 69.37, 'scoreMarket': None, 'scoreOperation': 68.3}",,,0.00016870546096470207,,,,,False,1,BSC
592,Firulais,firulais,https://skynet.certik.com/projects/firulais,"{'rank': 8963, 'percentile': 0.48603523104416646, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 60.57, 'scoreCodeSecurity': 77.45, 'scoreCommunity': 55, 'scoreFundamental': 49.1, 'scoreGovernance': 60.36, 'scoreMarket': None, 'scoreOperation': 55.5}",,,,,,,,True,1,Ethereum
593,MintSwap,mintswap,https://skynet.certik.com/projects/mintswap,"{'rank': 8977, 'percentile': 0.4866479448557569, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.56, 'scoreCodeSecurity': 71.12, 'scoreCommunity': 53.28, 'scoreFundamental': 49.32, 'scoreGovernance': 46.34, 'scoreMarket': 69.88, 'scoreOperation': 55.5}",1.0610071552167755,,7860.49609375,,,,,False,1,BSC|Avalanche
594,Phame,phame,https://skynet.certik.com/projects/phame,"{'rank': 8979, 'percentile': 0.4866479448557569, 'includedCategories': ['code', 'community', 'operation', 'fundamental'], 'score': 60.56, 'scoreCodeSecurity': 72.44, 'scoreCommunity': 58.37, 'scoreFundamental': 49.91, 'scoreGovernance': None, 'scoreMarket': None, 'scoreOperation': 60.3}",,,,,,,,False,2,Ethereum|PulseChain
595,Hydro Protocol,hydro-protocol,https://skynet.certik.com/projects/hydro-protocol,"{'rank': 8990, 'percentile': 0.4874648966045443, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.54, 'scoreCodeSecurity': 63.26, 'scoreCommunity': 58.83, 'scoreFundamental': 49.49, 'scoreGovernance': 64.86, 'scoreMarket': 63.7, 'scoreOperation': 65.1}",0.0002994293819678266,599427,0,,,,,False,0,Ethereum
596,Mango,mango-markets,https://skynet.certik.com/projects/mango-markets,"{'rank': 8992, 'percentile': 0.4874648966045443, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 60.54, 'scoreCodeSecurity': 49.78, 'scoreCommunity': 38.39, 'scoreFundamental': 76.86, 'scoreGovernance': 30, 'scoreMarket': 77.86, 'scoreOperation': 51.26}",0.030430624775803477,34004972,761.8060777935937,,,,,False,0,Solana
